% Model:              cavity-set1-0.01.mph
% freq (Hz)                                       V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))
1.100168653757731E15                              8.333314319304306E14                              8.333269646733525E14                              8.333088011838236E14                              8.332361287286601E14                              8.329459414682162E14                              8.317917531141145E14                              8.27253682193809E14
1.100278188669495E15                              8.333314312850289E14                              8.333269632084999E14                              8.333087960516125E14                              8.332361088761379E14                              8.3294586292069E14                                8.31791442327629E14                               8.272524726282926E14
1.1003877235812591E15                             8.333314306390742E14                              8.333269617427886E14                              8.333087909167101E14                              8.33236089013499E14                               8.329457843334531E14                              8.31791131384825E14                               8.272512624611425E14
1.1004972584930231E15                             8.333314299925648E14                              8.333269602762276E14                              8.333087857791152E14                              8.332360691407329E14                              8.32945705706471E14                               8.317908202855881E14                              8.272500516919189E14
1.1006067934047871E15                             8.333314293455E14                                 8.333269588088061E14                              8.333087806388232E14                              8.332360492578309E14                              8.329456270397198E14                              8.317905090298066E14                              8.272488403201964E14
1.1007163283165511E15                             8.333314286978715E14                              8.333269573405285E14                              8.333087754958388E14                              8.332360293647872E14                              8.329455483331588E14                              8.317901976173635E14                              8.27247628345545E14
1.1008258632283151E15                             8.333314280496888E14                              8.333269558713919E14                              8.333087703501515E14                              8.332360094615936E14                              8.329454695867752E14                              8.317898860481444E14                              8.272464157675236E14
1.1009353981400791E15                             8.333314274009488E14                              8.333269544013946E14                              8.333087652017631E14                              8.332359895482434E14                              8.329453908005304E14                              8.317895743220429E14                              8.27245202585709E14
1.1010449330518431E15                             8.33331426751647E14                               8.333269529305426E14                              8.333087600506712E14                              8.332359696247265E14                              8.329453119743942E14                              8.31789262438932E14                               8.27243988799667E14
1.1011544679636071E15                             8.333314261017888E14                              8.333269514588264E14                              8.333087548968725E14                              8.332359496910428E14                              8.329452331083378E14                              8.317889503987158E14                              8.272427744089596E14
1.1012640028753711E15                             8.333314254513728E14                              8.333269499862546E14                              8.333087497403695E14                              8.332359297471755E14                              8.329451542023382E14                              8.317886382012616E14                              8.27241559413154E14
1.1013735377871351E15                             8.333314248003882E14                              8.333269485128155E14                              8.333087445811544E14                              8.332359097931219E14                              8.32945075256358E14                               8.317883258464684E14                              8.272403438118191E14
1.1014830726988991E15                             8.333314241488462E14                              8.333269470385168E14                              8.333087394192254E14                              8.332358898288712E14                              8.329449962703739E14                              8.317880133342181E14                              8.272391276045196E14
1.1015926076106632E15                             8.333314234967372E14                              8.333269455633554E14                              8.333087342545868E14                              8.332358698544191E14                              8.329449172443591E14                              8.317877006643924E14                              8.272379107908176E14
1.1017021425224272E15                             8.333314228440674E14                              8.333269440873298E14                              8.333087290872301E14                              8.332358498697611E14                              8.329448381782759E14                              8.317873878368769E14                              8.272366933702849E14
1.1018116774341912E15                             8.333314221908348E14                              8.333269426104399E14                              8.333087239171561E14                              8.332358298748829E14                              8.329447590720958E14                              8.317870748515625E14                              8.272354753424736E14
1.1019212123459552E15                             8.333314215370352E14                              8.333269411326821E14                              8.333087187443624E14                              8.332358098697775E14                              8.329446799257992E14                              8.317867617083306E14                              8.272342567069592E14
1.1020307472577192E15                             8.333314208826708E14                              8.33326939654066E14                               8.333087135688466E14                              8.332357898544439E14                              8.329446007393491E14                              8.317864484070659E14                              8.272330374632945E14
1.1021402821694832E15                             8.333314202277388E14                              8.33326938174575E14                               8.333087083906081E14                              8.332357698288698E14                              8.329445215127168E14                              8.317861349476555E14                              8.272318176110589E14
1.1022498170812472E15                             8.3333141957224E14                                8.33326936694217E14                               8.333087032096372E14                              8.332357497930439E14                              8.32944442245872E14                               8.317858213299839E14                              8.272305971497948E14
1.1023593519930112E15                             8.333314189161711E14                              8.333269352129915E14                              8.333086980259448E14                              8.332357297469675E14                              8.32944362938785E14                               8.317855075539359E14                              8.272293760790758E14
1.1024688869047752E15                             8.333314182595359E14                              8.333269337308988E14                              8.333086928395182E14                              8.332357096906234E14                              8.329442835914309E14                              8.31785193619393E14                               8.272281543984595E14
1.1025784218165392E15                             8.333314176023286E14                              8.333269322479352E14                              8.333086876503582E14                              8.332356896240138E14                              8.32944204203775E14                               8.317848795262444E14                              8.272269321075101E14
1.1026879567283032E15                             8.333314169445524E14                              8.333269307641011E14                              8.333086824584648E14                              8.332356695471235E14                              8.329441247757936E14                              8.317845652743691E14                              8.272257092057858E14
1.1027974916400674E15                             8.333314162862029E14                              8.33326929279395E14                               8.333086772638342E14                              8.332356494599456E14                              8.329440453074458E14                              8.317842508636556E14                              8.272244856928505E14
1.1029070265518314E15                             8.333314156272821E14                              8.33326927793815E14                               8.333086720664624E14                              8.33235629362478E14                               8.329439657987135E14                              8.317839362939906E14                              8.272232615682624E14
1.1030165614635954E15                             8.333314149677905E14                              8.333269263073618E14                              8.333086668663511E14                              8.332356092547102E14                              8.329438862495662E14                              8.317836215652552E14                              8.272220368315794E14
1.1031260963753594E15                             8.333314143077285E14                              8.333269248200388E14                              8.333086616634999E14                              8.332355891366322E14                              8.329438066599682E14                              8.317833066773255E14                              8.27220811482358E14
1.1032356312871234E15                             8.333314136470878E14                              8.333269233318355E14                              8.333086564579005E14                              8.332355690082358E14                              8.329437270298971E14                              8.31782991630101E14                               8.272195855201652E14
1.1033451661988874E15                             8.333314129858738E14                              8.33326921842762E14                               8.333086512495519E14                              8.332355488695182E14                              8.329436473593136E14                              8.317826764234522E14                              8.27218358944554E14
1.1034547011106514E15                             8.33331412324081E14                               8.333269203528138E14                              8.33308646038456E14                               8.33235528720466E14                               8.329435676481952E14                              8.317823610572668E14                              8.272171317550812E14
1.1035642360224154E15                             8.333314116617138E14                              8.33326918861983E14                               8.333086408246091E14                              8.332355085610794E14                              8.32943487896508E14                               8.317820455314314E14                              8.272159039513045E14
1.1036737709341794E15                             8.333314109987695E14                              8.333269173702811E14                              8.33308635608006E14                               8.332354883913431E14                              8.329434081042268E14                              8.317817298458262E14                              8.272146755327878E14
1.1037833058459434E15                             8.333314103352428E14                              8.333269158776949E14                              8.333086303886508E14                              8.3323546821125E14                                8.329433282713204E14                              8.317814140003355E14                              8.27213446499079E14
1.1038928407577075E15                             8.333314096711465E14                              8.333269143842325E14                              8.333086251665318E14                              8.332354480208006E14                              8.329432483977571E14                              8.317810979948455E14                              8.272122168497366E14
1.1040023756694715E15                             8.333314090064645E14                              8.333269128898866E14                              8.333086199416578E14                              8.332354278199769E14                              8.329431684835036E14                              8.317807818292309E14                              8.272109865843129E14
1.1041119105812355E15                             8.333314083412039E14                              8.333269113946665E14                              8.33308614714019E14                               8.332354076087744E14                              8.329430885285368E14                              8.317804655033814E14                              8.272097557023732E14
1.1042214454929995E15                             8.333314076753604E14                              8.333269098985582E14                              8.333086094836129E14                              8.332353873871875E14                              8.329430085328255E14                              8.317801490171799E14                              8.272085242034618E14
1.1043309804047635E15                             8.333314070089385E14                              8.333269084015724E14                              8.333086042504456E14                              8.33235367155209E14                               8.329429284963384E14                              8.317798323705041E14                              8.272072920871379E14
1.1044405153165275E15                             8.333314063419289E14                              8.333269069037008E14                              8.333085990145098E14                              8.332353469128275E14                              8.329428484190459E14                              8.317795155632469E14                              8.272060593529589E14
1.1045500502282915E15                             8.333314056743368E14                              8.33326905404945E14                               8.333085937757994E14                              8.332353266600414E14                              8.329427683009104E14                              8.317791985952718E14                              8.272048260004679E14
1.1046595851400555E15                             8.333314050061631E14                              8.333269039053106E14                              8.333085885343185E14                              8.332353063968389E14                              8.329426881419146E14                              8.317788814664828E14                              8.272035920292308E14
1.1047691200518195E15                             8.333314043374034E14                              8.333269024047836E14                              8.333085832900601E14                              8.332352861232038E14                              8.32942607942022E14                               8.317785641767478E14                              8.272023574387894E14
1.1048786549635835E15                             8.333314036680589E14                              8.33326900903374E14                               8.333085780430244E14                              8.332352658391459E14                              8.32942527701203E14                               8.317782467259532E14                              8.272011222287041E14
1.1049881898753475E15                             8.333314029981248E14                              8.333268994010766E14                              8.333085727932089E14                              8.332352455446425E14                              8.329424474194281E14                              8.317779291139845E14                              8.27199886398518E14
1.1050977247871115E15                             8.333314023276039E14                              8.333268978978921E14                              8.333085675406142E14                              8.332352252396932E14                              8.329423670966659E14                              8.317776113407206E14                              8.271986499477885E14
1.1052072596988756E15                             8.333314016564988E14                              8.333268963938155E14                              8.333085622852356E14                              8.332352049242892E14                              8.329422867328856E14                              8.31777293406043E14                               8.271974128760636E14
1.1053167946106396E15                             8.333314009847971E14                              8.333268948888492E14                              8.333085570270695E14                              8.332351845984246E14                              8.329422063280588E14                              8.317769753098285E14                              8.271961751829002E14
1.1054263295224036E15                             8.33331400312513E14                               8.333268933829971E14                              8.333085517661135E14                              8.332351642620875E14                              8.329421258821514E14                              8.317766570519692E14                              8.271949368678395E14
1.1055358644341676E15                             8.333313996396359E14                              8.333268918762538E14                              8.333085465023726E14                              8.332351439152712E14                              8.329420453951401E14                              8.317763386323391E14                              8.271936979304374E14
1.1056453993459316E15                             8.333313989661641E14                              8.333268903686174E14                              8.33308541235836E14                               8.332351235579662E14                              8.329419648669869E14                              8.317760200508191E14                              8.271924583702436E14
1.1057549342576956E15                             8.333313982921038E14                              8.333268888600904E14                              8.333085359665075E14                              8.33235103190168E14                               8.329418842976672E14                              8.317757013072929E14                              8.271912181867981E14
1.1058644691694596E15                             8.333313976174479E14                              8.333268873506666E14                              8.333085306943766E14                              8.332350828118719E14                              8.329418036871502E14                              8.317753824016452E14                              8.271899773796586E14
1.1059740040812236E15                             8.333313969422036E14                              8.333268858403514E14                              8.333085254194512E14                              8.332350624230614E14                              8.329417230354016E14                              8.317750633337529E14                              8.271887359483668E14
1.1060835389929876E15                             8.333313962663568E14                              8.333268843291395E14                              8.3330852014172E14                                8.332350420237351E14                              8.329416423423945E14                              8.317747441034919E14                              8.271874938924735E14
1.1061930739047516E15                             8.333313955899222E14                              8.333268828170345E14                              8.333085148611945E14                              8.332350216138836E14                              8.329415616080926E14                              8.317744247107542E14                              8.271862512115288E14
1.1063026088165158E15                             8.333313949128864E14                              8.333268813040275E14                              8.333085095778556E14                              8.332350011934929E14                              8.329414808324741E14                              8.317741051554094E14                              8.271850079050706E14
1.1064121437282798E15                             8.333313942352558E14                              8.33326879790129E14                               8.333085042917129E14                              8.332349807625666E14                              8.329414000155076E14                              8.317737854373454E14                              8.271837639726489E14
1.1065216786400438E15                             8.333313935570248E14                              8.33326878275332E14                               8.333084990027595E14                              8.332349603210888E14                              8.32941319157148E14                               8.317734655564395E14                              8.271825194138122E14
1.1066312135518078E15                             8.333313928782002E14                              8.333268767596338E14                              8.333084937109949E14                              8.33234939869053E14                               8.329412382573838E14                              8.3177314551257E14                                8.271812742281012E14
1.1067407484635718E15                             8.333313921987731E14                              8.333268752430402E14                              8.333084884164124E14                              8.332349194064531E14                              8.32941157316171E14                               8.317728253056229E14                              8.271800284150669E14
1.1068502833753358E15                             8.33331391518744E14                               8.333268737255382E14                              8.333084831190168E14                              8.332348989332818E14                              8.329410763334892E14                              8.317725049354704E14                              8.271787819742484E14
1.1069598182870998E15                             8.33331390838115E14                               8.333268722071425E14                              8.333084778188012E14                              8.332348784495258E14                              8.329409953092989E14                              8.31772184402002E14                               8.271775349051894E14
1.1070693531988638E15                             8.333313901568869E14                              8.333268706878411E14                              8.333084725157666E14                              8.332348579551828E14                              8.329409142435775E14                              8.317718637050874E14                              8.271762872074348E14
1.1071788881106278E15                             8.333313894750525E14                              8.333268691676388E14                              8.333084672099066E14                              8.332348374502478E14                              8.32940833136288E14                               8.317715428446125E14                              8.27175038880527E14
1.1072884230223918E15                             8.333313887926156E14                              8.333268676465271E14                              8.333084619012255E14                              8.332348169347026E14                              8.329407519873971E14                              8.317712218204565E14                              8.271737899240119E14
1.1073979579341558E15                             8.333313881095766E14                              8.333268661245176E14                              8.333084565897158E14                              8.332347964085418E14                              8.329406707968844E14                              8.317709006324968E14                              8.27172540337427E14
1.1075074928459198E15                             8.333313874259286E14                              8.333268646015986E14                              8.33308451275371E14                               8.332347758717644E14                              8.329405895647101E14                              8.317705792806166E14                              8.271712901203149E14
1.1076170277576839E15                             8.333313867416802E14                              8.333268630777778E14                              8.333084459581991E14                              8.332347553243576E14                              8.329405082908441E14                              8.31770257764689E14                               8.271700392722159E14
1.1077265626694479E15                             8.333313860568215E14                              8.333268615530449E14                              8.333084406381955E14                              8.332347347663145E14                              8.329404269752664E14                              8.317699360845965E14                              8.271687877926734E14
1.1078360975812119E15                             8.333313853713535E14                              8.333268600274105E14                              8.333084353153534E14                              8.332347141976256E14                              8.32940345617923E14                               8.317696142402165E14                              8.27167535681226E14
1.1079456324929759E15                             8.33331384685278E14                               8.333268585008625E14                              8.333084299896726E14                              8.332346936182849E14                              8.329402642188055E14                              8.317692922314298E14                              8.271662829374156E14
1.1080551674047399E15                             8.333313839985962E14                              8.333268569734092E14                              8.333084246611509E14                              8.332346730282858E14                              8.329401827778779E14                              8.317689700581158E14                              8.2716502956078E14
1.1081647023165039E15                             8.333313833113014E14                              8.333268554450431E14                              8.33308419329786E14                               8.332346524276155E14                              8.329401012950905E14                              8.317686477201539E14                              8.271637755508589E14
1.1082742372282679E15                             8.333313826233952E14                              8.33326853915765E14                               8.333084139955778E14                              8.33234631816269E14                               8.329400197704446E14                              8.317683252174146E14                              8.271625209071872E14
1.1083837721400319E15                             8.333313819348791E14                              8.333268523855792E14                              8.333084086585218E14                              8.332346111942402E14                              8.329399382038838E14                              8.317680025497852E14                              8.2716126562931E14
1.1084933070517959E15                             8.333313812457508E14                              8.333268508544771E14                              8.333084033186178E14                              8.332345905615155E14                              8.329398565953848E14                              8.317676797171376E14                              8.271600097167519E14
1.1086028419635599E15                             8.33331380556004E14                               8.333268493224605E14                              8.333083979758566E14                              8.332345699180931E14                              8.329397749449174E14                              8.317673567193559E14                              8.271587531690646E14
1.108712376875324E15                              8.333313798656485E14                              8.333268477895349E14                              8.333083926302469E14                              8.332345492639595E14                              8.329396932524468E14                              8.317670335563158E14                              8.271574959857821E14
1.108821911787088E15                              8.333313791746779E14                              8.333268462556899E14                              8.333083872817761E14                              8.332345285991095E14                              8.329396115179505E14                              8.317667102278939E14                              8.271562381664325E14
1.108931446698852E15                              8.333313784830892E14                              8.333268447209325E14                              8.333083819304564E14                              8.332345079235368E14                              8.32939529741387E14                               8.317663867339694E14                              8.2715497971056E14
1.109040981610616E15                              8.333313777908831E14                              8.333268431852522E14                              8.333083765762675E14                              8.33234487237228E14                               8.329394479227306E14                              8.317660630744152E14                              8.27153720617692E14
1.10915051652238E15                               8.33331377098061E14                               8.333268416486635E14                              8.333083712192148E14                              8.332344665401779E14                              8.329393660619449E14                              8.317657392491132E14                              8.271524608873701E14
1.109260051434144E15                              8.333313764046166E14                              8.333268401111506E14                              8.333083658593038E14                              8.332344458323811E14                              8.329392841590081E14                              8.317654152579438E14                              8.271512005191296E14
1.109369586345908E15                              8.333313757105569E14                              8.333268385727169E14                              8.333083604965204E14                              8.332344251138259E14                              8.329392022138811E14                              8.317650911007771E14                              8.271499395124998E14
1.109479121257672E15                              8.333313750158748E14                              8.333268370333661E14                              8.333083551308672E14                              8.332344043845055E14                              8.329391202265304E14                              8.317647667774925E14                              8.271486778670112E14
1.109588656169436E15                              8.333313743205754E14                              8.333268354930935E14                              8.333083497623468E14                              8.332343836444159E14                              8.329390381969354E14                              8.317644422879718E14                              8.271474155822054E14
1.1096981910812E15                                8.333313736246496E14                              8.333268339519029E14                              8.333083443909492E14                              8.332343628935378E14                              8.329389561250502E14                              8.317641176320875E14                              8.271461526576076E14
1.109807725992964E15                              8.333313729281055E14                              8.33326832409783E14                               8.33308339016671E14                               8.33234342131874E14                               8.329388740108574E14                              8.317637928097166E14                              8.27144889092753E14
1.109917260904728E15                              8.333313722309329E14                              8.333268308667451E14                              8.333083336395199E14                              8.332343213594118E14                              8.32938791854316E14                               8.317634678207375E14                              8.271436248871756E14
1.1100267958164921E15                             8.333313715331395E14                              8.333268293227805E14                              8.333083282594895E14                              8.332343005761425E14                              8.329387096553979E14                              8.317631426650256E14                              8.271423600404044E14
1.1101363307282561E15                             8.333313708347199E14                              8.333268277778954E14                              8.333083228765715E14                              8.33234279782062E14                               8.329386274140655E14                              8.31762817342455E14                               8.271410945519711E14
1.1102458656400201E15                             8.333313701356728E14                              8.333268262320784E14                              8.333083174907719E14                              8.332342589771562E14                              8.329385451303028E14                              8.317624918529084E14                              8.271398284214031E14
1.1103554005517841E15                             8.33331369435998E14                               8.3332682468534E14                                8.333083121020822E14                              8.332342381614232E14                              8.329384628040601E14                              8.317621661962555E14                              8.271385616482354E14
1.1104649354635481E15                             8.333313687356959E14                              8.333268231376738E14                              8.33308306710503E14                               8.33234217334847E14                               8.329383804353144E14                              8.317618403723708E14                              8.27137294231987E14
1.1105744703753121E15                             8.33331368034767E14                               8.333268215890745E14                              8.333083013160316E14                              8.332341964974265E14                              8.329382980240299E14                              8.317615143811375E14                              8.27136026172197E14
1.1106840052870761E15                             8.333313673332088E14                              8.333268200395482E14                              8.3330829591867E14                                8.33234175649155E14                               8.329382155701826E14                              8.317611882224282E14                              8.271347574683948E14
1.1107935401988401E15                             8.333313666310175E14                              8.333268184890924E14                              8.333082905184022E14                              8.332341547900168E14                              8.329381330737356E14                              8.317608618961209E14                              8.271334881201E14
1.1109030751106041E15                             8.33331365928197E14                               8.333268169377075E14                              8.333082851152432E14                              8.332341339200021E14                              8.329380505346558E14                              8.317605354020791E14                              8.27132218126845E14
1.1110126100223681E15                             8.333313652247425E14                              8.333268153853868E14                              8.333082797091771E14                              8.33234113039113E14                               8.32937967952915E14                               8.31760208740194E14                               8.271309474881552E14
1.1111221449341322E15                             8.333313645206561E14                              8.333268138321395E14                              8.33308274300211E14                               8.332340921473418E14                              8.329378853284778E14                              8.317598819103344E14                              8.271296762035565E14
1.1112316798458962E15                             8.333313638159345E14                              8.33326812277955E14                               8.333082688883418E14                              8.332340712446689E14                              8.329378026613146E14                              8.31759554912375E14                               8.271284042725821E14
1.1113412147576602E15                             8.333313631105775E14                              8.333268107228348E14                              8.333082634735585E14                              8.332340503310849E14                              8.329377199513924E14                              8.317592277461912E14                              8.271271316947471E14
1.1114507496694242E15                             8.333313624045858E14                              8.333268091667852E14                              8.333082580558712E14                              8.332340294065988E14                              8.329376371986796E14                              8.317589004116575E14                              8.271258584695812E14
1.1115602845811882E15                             8.333313616979586E14                              8.333268076097944E14                              8.333082526352649E14                              8.332340084711895E14                              8.329375544031438E14                              8.31758572908652E14                               8.271245845966111E14
1.1116698194929522E15                             8.333313609906958E14                              8.33326806051871E14                               8.333082472117464E14                              8.332339875248489E14                              8.32937471564749E14                               8.317582452370449E14                              8.271233100753629E14
1.1117793544047162E15                             8.33331360282792E14                               8.333268044930072E14                              8.33308241785314E14                               8.332339665675702E14                              8.329373886834726E14                              8.317579173967098E14                              8.271220349053509E14
1.1118888893164802E15                             8.333313595742504E14                              8.333268029332055E14                              8.333082363559578E14                              8.332339455993495E14                              8.329373057592745E14                              8.317575893875254E14                              8.271207590861046E14
1.1119984242282442E15                             8.33331358865064E14                               8.33326801372466E14                               8.333082309236814E14                              8.332339246201719E14                              8.329372227921245E14                              8.317572612093644E14                              8.271194826171496E14
1.1121079591400082E15                             8.333313581552379E14                              8.333267998107875E14                              8.333082254884794E14                              8.332339036300351E14                              8.329371397819942E14                              8.317569328621031E14                              8.271182054980071E14
1.1122174940517722E15                             8.33331357444771E14                               8.333267982481642E14                              8.333082200503558E14                              8.332338826289242E14                              8.329370567288428E14                              8.317566043456096E14                              8.271169277281926E14
1.1123270289635364E15                             8.333313567336592E14                              8.33326796684601E14                               8.333082146092961E14                              8.332338616168364E14                              8.329369736326484E14                              8.31756275659763E14                               8.271156493072345E14
1.1124365638753004E15                             8.333313560219102E14                              8.333267951200949E14                              8.333082091653092E14                              8.332338405937606E14                              8.329368904933719E14                              8.317559468044352E14                              8.271143702346519E14
1.1125460987870644E15                             8.333313553095124E14                              8.33326793554644E14                               8.333082037183885E14                              8.33233819559688E14                               8.329368073109808E14                              8.317556177794996E14                              8.271130905099672E14
1.1126556336988284E15                             8.333313545964675E14                              8.333267919882528E14                              8.333081982685319E14                              8.332337985146148E14                              8.329367240854455E14                              8.317552885848299E14                              8.271118101326912E14
1.1127651686105924E15                             8.333313538827768E14                              8.333267904209139E14                              8.333081928157338E14                              8.332337774585246E14                              8.329366408167335E14                              8.317549592203059E14                              8.27110529102351E14
1.1128747035223564E15                             8.333313531684408E14                              8.333267888526269E14                              8.333081873600011E14                              8.332337563914174E14                              8.329365575048118E14                              8.317546296857888E14                              8.2710924741847E14
1.1129842384341204E15                             8.333313524534551E14                              8.333267872833975E14                              8.333081819013238E14                              8.332337353132804E14                              8.329364741496484E14                              8.317542999811565E14                              8.27107965080558E14
1.1130937733458844E15                             8.333313517378211E14                              8.333267857132192E14                              8.333081764397004E14                              8.332337142241059E14                              8.329363907512106E14                              8.317539701062879E14                              8.271066820881341E14
1.1132033082576484E15                             8.333313510215339E14                              8.333267841420896E14                              8.333081709751305E14                              8.332336931238879E14                              8.329363073094629E14                              8.317536400610486E14                              8.271053984407226E14
1.1133128431694124E15                             8.333313503046022E14                              8.333267825700149E14                              8.333081655076124E14                              8.332336720126135E14                              8.32936223824379E14                               8.317533098453146E14                              8.271041141378358E14
1.1134223780811764E15                             8.333313495870132E14                              8.33326780996986E14                               8.33308160037139E14                               8.332336508902785E14                              8.329361402959186E14                              8.317529794589574E14                              8.27102829178991E14
